#    L    TT             EE             TE          
   296    0.17606E+04    0.48457E+00    0.58790E+01
   297    0.17709E+04    0.49619E+00    0.62034E+01
   298    0.17812E+04    0.50820E+00    0.65329E+01
   299    0.17915E+04    0.52062E+00    0.68675E+01
   300    0.18017E+04    0.53346E+00    0.72070E+01
   301    0.18119E+04    0.54673E+00    0.75515E+01
   302    0.18220E+04    0.56044E+00    0.79008E+01
   303    0.18320E+04    0.57460E+00    0.82550E+01
   304    0.18420E+04    0.58922E+00    0.86140E+01
   305    0.18519E+04    0.60432E+00    0.89778E+01
   306    0.18618E+04    0.61989E+00    0.93462E+01
   307    0.18716E+04    0.63596E+00    0.97193E+01
   308    0.18814E+04    0.65252E+00    0.10097E+02
   309    0.18911E+04    0.66961E+00    0.10479E+02
   310    0.19007E+04    0.68721E+00    0.10866E+02
   311    0.19103E+04    0.70535E+00    0.11257E+02
   312    0.19198E+04    0.72403E+00    0.11653E+02
   313    0.19292E+04    0.74327E+00    0.12053E+02
   314    0.19385E+04    0.76307E+00    0.12457E+02
   315    0.19478E+04    0.78345E+00    0.12865E+02
   316    0.19570E+04    0.80441E+00    0.13278E+02
   317    0.19661E+04    0.82597E+00    0.13695E+02
   318    0.19752E+04    0.84814E+00    0.14116E+02
   319    0.19841E+04    0.87092E+00    0.14541E+02
   320    0.19930E+04    0.89433E+00    0.14970E+02
   321    0.20018E+04    0.91838E+00    0.15403E+02
   322    0.20105E+04    0.94307E+00    0.15840E+02
   323    0.20191E+04    0.96843E+00    0.16281E+02
   324    0.20277E+04    0.99445E+00    0.16725E+02
   325    0.20361E+04    0.10212E+01    0.17174E+02
   326    0.20444E+04    0.10486E+01    0.17626E+02
   327    0.20527E+04    0.10766E+01    0.18081E+02
   328    0.20609E+04    0.11054E+01    0.18541E+02
   329    0.20689E+04    0.11350E+01    0.19003E+02
   330    0.20769E+04    0.11652E+01    0.19469E+02
   331    0.20848E+04    0.11961E+01    0.19938E+02
   332    0.20926E+04    0.12278E+01    0.20410E+02
   333    0.21003E+04    0.12602E+01    0.20884E+02
   334    0.21078E+04    0.12934E+01    0.21361E+02
   335    0.21153E+04    0.13273E+01    0.21841E+02
   336    0.21227E+04    0.13619E+01    0.22322E+02
   337    0.21300E+04    0.13973E+01    0.22806E+02
   338    0.21372E+04    0.14335E+01    0.23292E+02
   339    0.21443E+04    0.14704E+01    0.23779E+02
   340    0.21513E+04    0.15081E+01    0.24268E+02
   341    0.21582E+04    0.15466E+01    0.24758E+02
   342    0.21650E+04    0.15859E+01    0.25250E+02
   343    0.21717E+04    0.16259E+01    0.25742E+02
   344    0.21783E+04    0.16668E+01    0.26236E+02
   345    0.21848E+04    0.17084E+01    0.26731E+02
   346    0.21911E+04    0.17509E+01    0.27226E+02
   347    0.21974E+04    0.17941E+01    0.27721E+02
   348    0.22036E+04    0.18382E+01    0.28217E+02
   349    0.22097E+04    0.18831E+01    0.28713E+02
   350    0.22156E+04    0.19289E+01    0.29209E+02
   351    0.22215E+04    0.19754E+01    0.29705E+02
   352    0.22273E+04    0.20229E+01    0.30200E+02
   353    0.22329E+04    0.20711E+01    0.30695E+02
   354    0.22384E+04    0.21202E+01    0.31189E+02
   355    0.22439E+04    0.21702E+01    0.31682E+02
   356    0.22492E+04    0.22210E+01    0.32175E+02
   357    0.22544E+04    0.22727E+01    0.32666E+02
   358    0.22595E+04    0.23253E+01    0.33156E+02
   359    0.22645E+04    0.23787E+01    0.33645E+02
   360    0.22694E+04    0.24330E+01    0.34132E+02
   361    0.22742E+04    0.24882E+01    0.34617E+02
   362    0.22788E+04    0.25444E+01    0.35100E+02
   363    0.22834E+04    0.26014E+01    0.35581E+02
   364    0.22878E+04    0.26593E+01    0.36060E+02
   365    0.22922E+04    0.27181E+01    0.36536E+02
   366    0.22964E+04    0.27779E+01    0.37010E+02
