#    L    TT             EE             TE          
   260    0.40157E+00    0.73041E-04   -0.21708E-02
   261    0.40226E+00    0.72009E-04   -0.20802E-02
   262    0.40291E+00    0.71018E-04   -0.19884E-02
   263    0.40354E+00    0.70069E-04   -0.18954E-02
   264    0.40414E+00    0.69165E-04   -0.18011E-02
   265    0.40471E+00    0.68307E-04   -0.17056E-02
   266    0.40526E+00    0.67498E-04   -0.16089E-02
   267    0.40577E+00    0.66738E-04   -0.15110E-02
   268    0.40626E+00    0.66031E-04   -0.14120E-02
   269    0.40671E+00    0.65378E-04   -0.13118E-02
   270    0.40714E+00    0.64780E-04   -0.12105E-02
   271    0.40754E+00    0.64241E-04   -0.11081E-02
   272    0.40790E+00    0.63760E-04   -0.10046E-02
   273    0.40824E+00    0.63342E-04   -0.90001E-03
   274    0.40855E+00    0.62986E-04   -0.79440E-03
   275    0.40883E+00    0.62696E-04   -0.68776E-03
   276    0.40907E+00    0.62473E-04   -0.58010E-03
   277    0.40929E+00    0.62319E-04   -0.47146E-03
   278    0.40948E+00    0.62236E-04   -0.36184E-03
   279    0.40963E+00    0.62226E-04   -0.25126E-03
   280    0.40976E+00    0.62290E-04   -0.13975E-03
   281    0.40985E+00    0.62430E-04   -0.27313E-04
   282    0.40991E+00    0.62650E-04    0.86019E-04
   283    0.40994E+00    0.62949E-04    0.20023E-03
   284    0.40994E+00    0.63331E-04    0.31531E-03
   285    0.40991E+00    0.63796E-04    0.43123E-03
   286    0.40984E+00    0.64346E-04    0.54795E-03
   287    0.40974E+00    0.64983E-04    0.66546E-03
   288    0.40961E+00    0.65706E-04    0.78370E-03
   289    0.40945E+00    0.66517E-04    0.90265E-03
   290    0.40926E+00    0.67417E-04    0.10223E-02
   291    0.40904E+00    0.68406E-04    0.11425E-02
   292    0.40879E+00    0.69486E-04    0.12634E-02
   293    0.40850E+00    0.70658E-04    0.13848E-02
   294    0.40818E+00    0.71923E-04    0.15068E-02
   295    0.40784E+00    0.73281E-04    0.16293E-02
   296    0.40746E+00    0.74733E-04    0.17522E-02
   297    0.40705E+00    0.76281E-04    0.18756E-02
   298    0.40661E+00    0.77926E-04    0.19993E-02
   299    0.40614E+00    0.79667E-04    0.21235E-02
   300    0.40565E+00    0.81507E-04    0.22479E-02
   301    0.40512E+00    0.83447E-04    0.23727E-02
   302    0.40456E+00    0.85486E-04    0.24977E-02
   303    0.40397E+00    0.87627E-04    0.26229E-02
   304    0.40335E+00    0.89869E-04    0.27483E-02
   305    0.40270E+00    0.92215E-04    0.28739E-02
   306    0.40202E+00    0.94665E-04    0.29996E-02
   307    0.40131E+00    0.97219E-04    0.31254E-02
   308    0.40057E+00    0.99880E-04    0.32513E-02
   309    0.39981E+00    0.10265E-03    0.33771E-02
   310    0.39901E+00    0.10552E-03    0.35030E-02
   311    0.39818E+00    0.10851E-03    0.36288E-02
   312    0.39733E+00    0.11160E-03    0.37545E-02
   313    0.39645E+00    0.11480E-03    0.38801E-02
   314    0.39553E+00    0.11812E-03    0.40055E-02
   315    0.39459E+00    0.12155E-03    0.41308E-02
   316    0.39362E+00    0.12509E-03    0.42558E-02
   317    0.39262E+00    0.12875E-03    0.43806E-02
   318    0.39160E+00    0.13252E-03    0.45051E-02
   319    0.39054E+00    0.13641E-03    0.46293E-02
   320    0.38946E+00    0.14041E-03    0.47531E-02
   321    0.38835E+00    0.14454E-03    0.48765E-02
   322    0.38721E+00    0.14878E-03    0.49995E-02
   323    0.38604E+00    0.15314E-03    0.51220E-02
   324    0.38485E+00    0.15763E-03    0.52440E-02
   325    0.38363E+00    0.16223E-03    0.53655E-02
   326    0.38238E+00    0.16696E-03    0.54865E-02
   327    0.38110E+00    0.17182E-03    0.56068E-02
   328    0.37980E+00    0.17679E-03    0.57265E-02
   329    0.37847E+00    0.18189E-03    0.58456E-02
   330    0.37711E+00    0.18711E-03    0.59640E-02
   331    0.37573E+00    0.19244E-03    0.60816E-02
   332    0.37432E+00    0.19790E-03    0.61986E-02
   333    0.37289E+00    0.20347E-03    0.63147E-02
   334    0.37143E+00    0.20915E-03    0.64301E-02
   335    0.36995E+00    0.21495E-03    0.65447E-02
   336    0.36844E+00    0.22086E-03    0.66584E-02
   337    0.36691E+00    0.22688E-03    0.67712E-02
   338    0.36536E+00    0.23301E-03    0.68832E-02
   339    0.36378E+00    0.23925E-03    0.69942E-02
   340    0.36219E+00    0.24560E-03    0.71043E-02
   341    0.36057E+00    0.25206E-03    0.72133E-02
   342    0.35893E+00    0.25861E-03    0.73214E-02
   343    0.35727E+00    0.26528E-03    0.74285E-02
   344    0.35558E+00    0.27204E-03    0.75344E-02
   345    0.35388E+00    0.27890E-03    0.76393E-02
   346    0.35216E+00    0.28587E-03    0.77431E-02
   347    0.35041E+00    0.29293E-03    0.78457E-02
   348    0.34865E+00    0.30009E-03    0.79472E-02
   349    0.34687E+00    0.30734E-03    0.80474E-02
   350    0.34507E+00    0.31469E-03    0.81465E-02
   351    0.34326E+00    0.32213E-03    0.82442E-02
   352    0.34142E+00    0.32966E-03    0.83407E-02
   353    0.33957E+00    0.33729E-03    0.84359E-02
   354    0.33770E+00    0.34500E-03    0.85298E-02
   355    0.33582E+00    0.35280E-03    0.86223E-02
   356    0.33392E+00    0.36069E-03    0.87134E-02
   357    0.33200E+00    0.36866E-03    0.88030E-02
   358    0.33007E+00    0.37672E-03    0.88913E-02
   359    0.32812E+00    0.38486E-03    0.89780E-02
   360    0.32616E+00    0.39308E-03    0.90633E-02
   361    0.32419E+00    0.40138E-03    0.91470E-02
   362    0.32220E+00    0.40976E-03    0.92292E-02
   363    0.32019E+00    0.41822E-03    0.93098E-02
   364    0.31818E+00    0.42675E-03    0.93888E-02
   365    0.31615E+00    0.43536E-03    0.94662E-02
   366    0.31411E+00    0.44404E-03    0.95419E-02
   367    0.31206E+00    0.45280E-03    0.96159E-02
   368    0.31000E+00    0.46163E-03    0.96882E-02
   369    0.30793E+00    0.47052E-03    0.97588E-02
   370    0.30584E+00    0.47948E-03    0.98276E-02
   371    0.30375E+00    0.48851E-03    0.98946E-02
   372    0.30164E+00    0.49760E-03    0.99599E-02
   373    0.29953E+00    0.50674E-03    0.10023E-01
   374    0.29741E+00    0.51594E-03    0.10085E-01
   375    0.29528E+00    0.52519E-03    0.10145E-01
   376    0.29314E+00    0.53449E-03    0.10203E-01
   377    0.29099E+00    0.54383E-03    0.10260E-01
   378    0.28884E+00    0.55322E-03    0.10314E-01
   379    0.28668E+00    0.56264E-03    0.10367E-01
   380    0.28451E+00    0.57210E-03    0.10418E-01
   381    0.28234E+00    0.58159E-03    0.10468E-01
   382    0.28016E+00    0.59112E-03    0.10515E-01
   383    0.27798E+00    0.60066E-03    0.10561E-01
   384    0.27579E+00    0.61024E-03    0.10605E-01
   385    0.27360E+00    0.61983E-03    0.10647E-01
   386    0.27141E+00    0.62944E-03    0.10687E-01
   387    0.26921E+00    0.63907E-03    0.10725E-01
   388    0.26700E+00    0.64870E-03    0.10762E-01
   389    0.26480E+00    0.65835E-03    0.10796E-01
   390    0.26259E+00    0.66800E-03    0.10829E-01
   391    0.26038E+00    0.67765E-03    0.10860E-01
   392    0.25817E+00    0.68730E-03    0.10889E-01
   393    0.25596E+00    0.69695E-03    0.10916E-01
   394    0.25375E+00    0.70659E-03    0.10942E-01
   395    0.25154E+00    0.71621E-03    0.10965E-01
   396    0.24933E+00    0.72583E-03    0.10987E-01
   397    0.24711E+00    0.73543E-03    0.11007E-01
   398    0.24490E+00    0.74501E-03    0.11025E-01
   399    0.24270E+00    0.75456E-03    0.11041E-01
   400    0.24049E+00    0.76410E-03    0.11055E-01
   401    0.23829E+00    0.77360E-03    0.11067E-01
   402    0.23608E+00    0.78307E-03    0.11078E-01
   403    0.23389E+00    0.79250E-03    0.11086E-01
   404    0.23169E+00    0.80190E-03    0.11093E-01
   405    0.22950E+00    0.81125E-03    0.11097E-01
   406    0.22731E+00    0.82057E-03    0.11100E-01
   407    0.22513E+00    0.82983E-03    0.11101E-01
   408    0.22296E+00    0.83904E-03    0.11099E-01
   409    0.22079E+00    0.84820E-03    0.11096E-01
   410    0.21862E+00    0.85731E-03    0.11091E-01
   411    0.21646E+00    0.86635E-03    0.11084E-01
   412    0.21431E+00    0.87533E-03    0.11076E-01
   413    0.21217E+00    0.88425E-03    0.11065E-01
   414    0.21003E+00    0.89310E-03    0.11052E-01
   415    0.20790E+00    0.90188E-03    0.11038E-01
   416    0.20578E+00    0.91058E-03    0.11021E-01
   417    0.20366E+00    0.91921E-03    0.11003E-01
   418    0.20156E+00    0.92776E-03    0.10983E-01
   419    0.19946E+00    0.93623E-03    0.10961E-01
   420    0.19737E+00    0.94462E-03    0.10938E-01
   421    0.19530E+00    0.95292E-03    0.10912E-01
   422    0.19323E+00    0.96113E-03    0.10885E-01
   423    0.19117E+00    0.96924E-03    0.10857E-01
   424    0.18912E+00    0.97727E-03    0.10826E-01
   425    0.18708E+00    0.98519E-03    0.10794E-01
   426    0.18505E+00    0.99302E-03    0.10760E-01
   427    0.18303E+00    0.10007E-02    0.10725E-01
   428    0.18102E+00    0.10084E-02    0.10688E-01
   429    0.17903E+00    0.10159E-02    0.10649E-01
   430    0.17704E+00    0.10233E-02    0.10609E-01
   431    0.17507E+00    0.10306E-02    0.10568E-01
   432    0.17311E+00    0.10377E-02    0.10524E-01
   433    0.17116E+00    0.10448E-02    0.10480E-01
   434    0.16923E+00    0.10517E-02    0.10433E-01
   435    0.16730E+00    0.10585E-02    0.10386E-01
   436    0.16540E+00    0.10652E-02    0.10336E-01
   437    0.16350E+00    0.10717E-02    0.10286E-01
   438    0.16162E+00    0.10782E-02    0.10234E-01
   439    0.15975E+00    0.10844E-02    0.10181E-01
   440    0.15789E+00    0.10906E-02    0.10126E-01
   441    0.15606E+00    0.10966E-02    0.10070E-01
   442    0.15423E+00    0.11025E-02    0.10012E-01
   443    0.15242E+00    0.11082E-02    0.99534E-02
   444    0.15063E+00    0.11137E-02    0.98934E-02
   445    0.14885E+00    0.11192E-02    0.98321E-02
   446    0.14708E+00    0.11244E-02    0.97695E-02
   447    0.14534E+00    0.11295E-02    0.97056E-02
   448    0.14361E+00    0.11345E-02    0.96406E-02
   449    0.14189E+00    0.11393E-02    0.95743E-02
   450    0.14019E+00    0.11439E-02    0.95069E-02
   451    0.13851E+00    0.11483E-02    0.94383E-02
   452    0.13685E+00    0.11526E-02    0.93686E-02
   453    0.13521E+00    0.11567E-02    0.92978E-02
   454    0.13358E+00    0.11607E-02    0.92259E-02
   455    0.13197E+00    0.11644E-02    0.91529E-02
   456    0.13038E+00    0.11680E-02    0.90789E-02
   457    0.12880E+00    0.11715E-02    0.90038E-02
   458    0.12725E+00    0.11747E-02    0.89278E-02
   459    0.12571E+00    0.11778E-02    0.88509E-02
   460    0.12419E+00    0.11807E-02    0.87730E-02
   461    0.12269E+00    0.11834E-02    0.86942E-02
   462    0.12120E+00    0.11859E-02    0.86146E-02
   463    0.11974E+00    0.11883E-02    0.85341E-02
   464    0.11829E+00    0.11905E-02    0.84528E-02
   465    0.11686E+00    0.11925E-02    0.83707E-02
   466    0.11545E+00    0.11944E-02    0.82879E-02
   467    0.11405E+00    0.11960E-02    0.82044E-02
   468    0.11268E+00    0.11975E-02    0.81201E-02
   469    0.11132E+00    0.11988E-02    0.80352E-02
   470    0.10998E+00    0.11999E-02    0.79497E-02
   471    0.10866E+00    0.12009E-02    0.78635E-02
   472    0.10735E+00    0.12017E-02    0.77768E-02
   473    0.10607E+00    0.12023E-02    0.76894E-02
   474    0.10480E+00    0.12027E-02    0.76016E-02
   475    0.10355E+00    0.12029E-02    0.75133E-02
   476    0.10232E+00    0.12030E-02    0.74245E-02
   477    0.10111E+00    0.12028E-02    0.73352E-02
   478    0.99917E-01    0.12025E-02    0.72456E-02
   479    0.98743E-01    0.12020E-02    0.71555E-02
   480    0.97586E-01    0.12014E-02    0.70651E-02
   481    0.96448E-01    0.12005E-02    0.69743E-02
   482    0.95329E-01    0.11995E-02    0.68833E-02
   483    0.94228E-01    0.11983E-02    0.67920E-02
   484    0.93146E-01    0.11969E-02    0.67004E-02
   485    0.92083E-01    0.11953E-02    0.66086E-02
   486    0.91038E-01    0.11935E-02    0.65166E-02
   487    0.90012E-01    0.11916E-02    0.64245E-02
   488    0.89004E-01    0.11895E-02    0.63322E-02
   489    0.88015E-01    0.11871E-02    0.62398E-02
   490    0.87045E-01    0.11846E-02    0.61474E-02
   491    0.86094E-01    0.11819E-02    0.60549E-02
   492    0.85162E-01    0.11791E-02    0.59623E-02
   493    0.84248E-01    0.11760E-02    0.58698E-02
   494    0.83353E-01    0.11728E-02    0.57773E-02
   495    0.82477E-01    0.11693E-02    0.56849E-02
   496    0.81620E-01    0.11657E-02    0.55926E-02
   497    0.80782E-01    0.11619E-02    0.55003E-02
   498    0.79962E-01    0.11580E-02    0.54082E-02
   499    0.79160E-01    0.11538E-02    0.53162E-02
   500    0.78377E-01    0.11495E-02    0.52243E-02
   501    0.77612E-01    0.11450E-02    0.51327E-02
   502    0.76864E-01    0.11403E-02    0.50412E-02
   503    0.76134E-01    0.11355E-02    0.49500E-02
   504    0.75422E-01    0.11305E-02    0.48589E-02
   505    0.74727E-01    0.11254E-02    0.47681E-02
   506    0.74050E-01    0.11200E-02    0.46776E-02
   507    0.73390E-01    0.11146E-02    0.45874E-02
