#    L    TT             EE             TE          
   305    0.51973E+02    0.12788E+00    0.15121E+01
   306    0.51575E+02    0.13030E+00    0.15151E+01
   307    0.51176E+02    0.13273E+00    0.15176E+01
   308    0.50776E+02    0.13517E+00    0.15197E+01
   309    0.50376E+02    0.13762E+00    0.15213E+01
   310    0.49975E+02    0.14009E+00    0.15224E+01
   311    0.49574E+02    0.14256E+00    0.15231E+01
   312    0.49173E+02    0.14504E+00    0.15233E+01
   313    0.48771E+02    0.14752E+00    0.15230E+01
   314    0.48370E+02    0.15001E+00    0.15222E+01
   315    0.47969E+02    0.15251E+00    0.15209E+01
   316    0.47568E+02    0.15501E+00    0.15191E+01
   317    0.47168E+02    0.15752E+00    0.15169E+01
   318    0.46769E+02    0.16003E+00    0.15141E+01
   319    0.46370E+02    0.16254E+00    0.15109E+01
   320    0.45972E+02    0.16506E+00    0.15071E+01
   321    0.45575E+02    0.16758E+00    0.15029E+01
   322    0.45179E+02    0.17009E+00    0.14981E+01
   323    0.44785E+02    0.17261E+00    0.14929E+01
   324    0.44392E+02    0.17512E+00    0.14871E+01
   325    0.44001E+02    0.17764E+00    0.14808E+01
   326    0.43611E+02    0.18015E+00    0.14740E+01
   327    0.43223E+02    0.18265E+00    0.14666E+01
   328    0.42837E+02    0.18516E+00    0.14588E+01
   329    0.42453E+02    0.18766E+00    0.14504E+01
   330    0.42072E+02    0.19015E+00    0.14415E+01
   331    0.41692E+02    0.19263E+00    0.14322E+01
   332    0.41315E+02    0.19511E+00    0.14223E+01
   333    0.40940E+02    0.19757E+00    0.14120E+01
   334    0.40568E+02    0.20003E+00    0.14011E+01
   335    0.40198E+02    0.20248E+00    0.13898E+01
   336    0.39831E+02    0.20491E+00    0.13781E+01
   337    0.39467E+02    0.20733E+00    0.13659E+01
   338    0.39105E+02    0.20974E+00    0.13532E+01
   339    0.38747E+02    0.21213E+00    0.13401E+01
   340    0.38392E+02    0.21450E+00    0.13266E+01
   341    0.38039E+02    0.21686E+00    0.13126E+01
   342    0.37690E+02    0.21920E+00    0.12982E+01
   343    0.37345E+02    0.22152E+00    0.12833E+01
