#    L    TT             EE             TE          
   431    0.27631E+06    0.72904E+03   -0.36691E+04
   432    0.27769E+06    0.73011E+03   -0.37283E+04
   433    0.27908E+06    0.73109E+03   -0.37871E+04
   434    0.28048E+06    0.73197E+03   -0.38455E+04
   435    0.28189E+06    0.73276E+03   -0.39035E+04
   436    0.28331E+06    0.73345E+03   -0.39610E+04
   437    0.28475E+06    0.73405E+03   -0.40180E+04
   438    0.28619E+06    0.73456E+03   -0.40745E+04
   439    0.28765E+06    0.73497E+03   -0.41304E+04
   440    0.28911E+06    0.73529E+03   -0.41857E+04
   441    0.29059E+06    0.73552E+03   -0.42405E+04
   442    0.29207E+06    0.73565E+03   -0.42946E+04
   443    0.29357E+06    0.73570E+03   -0.43480E+04
   444    0.29508E+06    0.73565E+03   -0.44008E+04
   445    0.29660E+06    0.73551E+03   -0.44528E+04
   446    0.29813E+06    0.73528E+03   -0.45041E+04
   447    0.29967E+06    0.73495E+03   -0.45546E+04
   448    0.30122E+06    0.73454E+03   -0.46043E+04
   449    0.30278E+06    0.73404E+03   -0.46532E+04
   450    0.30435E+06    0.73344E+03   -0.47012E+04
   451    0.30593E+06    0.73276E+03   -0.47483E+04
   452    0.30752E+06    0.73199E+03   -0.47946E+04
   453    0.30912E+06    0.73112E+03   -0.48398E+04
   454    0.31074E+06    0.73018E+03   -0.48842E+04
   455    0.31236E+06    0.72915E+03   -0.49275E+04
   456    0.31399E+06    0.72805E+03   -0.49699E+04
   457    0.31563E+06    0.72688E+03   -0.50113E+04
   458    0.31727E+06    0.72564E+03   -0.50517E+04
   459    0.31893E+06    0.72434E+03   -0.50910E+04
   460    0.32060E+06    0.72298E+03   -0.51294E+04
   461    0.32227E+06    0.72157E+03   -0.51666E+04
   462    0.32395E+06    0.72011E+03   -0.52028E+04
   463    0.32564E+06    0.71861E+03   -0.52379E+04
   464    0.32733E+06    0.71707E+03   -0.52720E+04
   465    0.32903E+06    0.71549E+03   -0.53049E+04
   466    0.33074E+06    0.71388E+03   -0.53367E+04
   467    0.33246E+06    0.71225E+03   -0.53673E+04
   468    0.33418E+06    0.71060E+03   -0.53968E+04
   469    0.33591E+06    0.70893E+03   -0.54252E+04
   470    0.33764E+06    0.70725E+03   -0.54524E+04
   471    0.33938E+06    0.70557E+03   -0.54783E+04
   472    0.34112E+06    0.70388E+03   -0.55031E+04
   473    0.34287E+06    0.70219E+03   -0.55267E+04
   474    0.34462E+06    0.70051E+03   -0.55490E+04
   475    0.34638E+06    0.69885E+03   -0.55701E+04
   476    0.34814E+06    0.69719E+03   -0.55899E+04
   477    0.34990E+06    0.69556E+03   -0.56084E+04
   478    0.35167E+06    0.69396E+03   -0.56257E+04
   479    0.35344E+06    0.69238E+03   -0.56416E+04
   480    0.35522E+06    0.69084E+03   -0.56563E+04
   481    0.35699E+06    0.68933E+03   -0.56696E+04
   482    0.35877E+06    0.68787E+03   -0.56815E+04
   483    0.36056E+06    0.68646E+03   -0.56921E+04
   484    0.36234E+06    0.68510E+03   -0.57014E+04
   485    0.36412E+06    0.68380E+03   -0.57092E+04
   486    0.36591E+06    0.68256E+03   -0.57156E+04
   487    0.36770E+06    0.68138E+03   -0.57207E+04
   488    0.36949E+06    0.68028E+03   -0.57243E+04
   489    0.37128E+06    0.67925E+03   -0.57264E+04
   490    0.37306E+06    0.67830E+03   -0.57271E+04
   491    0.37485E+06    0.67744E+03   -0.57264E+04
   492    0.37664E+06    0.67666E+03   -0.57241E+04
   493    0.37843E+06    0.67598E+03   -0.57204E+04
   494    0.38022E+06    0.67540E+03   -0.57151E+04
   495    0.38201E+06    0.67492E+03   -0.57083E+04
   496    0.38379E+06    0.67455E+03   -0.57000E+04
   497    0.38557E+06    0.67429E+03   -0.56903E+04
   498    0.38736E+06    0.67416E+03   -0.56791E+04
   499    0.38914E+06    0.67416E+03   -0.56664E+04
   500    0.39091E+06    0.67429E+03   -0.56524E+04
   501    0.39269E+06    0.67457E+03   -0.56370E+04
   502    0.39446E+06    0.67500E+03   -0.56202E+04
   503    0.39623E+06    0.67558E+03   -0.56021E+04
   504    0.39799E+06    0.67633E+03   -0.55827E+04
